Tabla M,nombre_dividido,standard_company_name,Estado
"empresa con presencia internacional que lleva más de 35 años desarrollando proyectos de ingeniería, arquitectura, consultoría estratégica y tecnologías de la información, para el sector de transportes","['empresa', 'con', 'presencia', 'internacional', 'que', 'lleva', 'más', 'de', '35', 'años', 'desarrollando', 'proyectos', 'de', 'ingeniería,', 'arquitectura,', 'consultoría', 'estratégica', 'y', 'tecnologías', 'de', 'la', 'información,', 'para', 'el', 'sector', 'de', 'transportes']",empresa anónima,Correcto
empresa confidencial,"['empresa', 'confidencial']",empresa anónima,Correcto
empresa consolidada en el mercado,"['empresa', 'consolidada', 'en', 'el', 'mercado']",empresa anónima,Correcto
empresa de comunicación,"['empresa', 'de', 'comunicación']",empresa anónima,Correcto
empresa de informática,"['empresa', 'de', 'informática']",empresa anónima,Correcto
empresa de instalacion,"['empresa', 'de', 'instalacion']",empresa anónima,Correcto
empresa de mantenimiento informático,"['empresa', 'de', 'mantenimiento', 'informático']",empresa anónima,Correcto
empresa de productos textiles para el hogar,"['empresa', 'de', 'productos', 'textiles', 'para', 'el', 'hogar']",empresa anónima,Correcto
empresa de programación y desarrollo de paginas web y aplicaciones,"['empresa', 'de', 'programación', 'y', 'desarrollo', 'de', 'paginas', 'web', 'y', 'aplicaciones']",empresa anónima,Correcto
empresa de seguridad y vigilancia,"['empresa', 'de', 'seguridad', 'y', 'vigilancia']",empresa anónima,Correcto
empresa de seleccion de talentos,"['empresa', 'de', 'seleccion', 'de', 'talentos']",empresa anónima,Correcto
empresa de selección,"['empresa', 'de', 'selección']",empresa anónima,Correcto
empresa de servicios informáticos en expansión,"['empresa', 'de', 'servicios', 'informáticos', 'en', 'expansión']",empresa anónima,Correcto
"empresa de servicios y soluciones de formación, consultoría y outsourcing","['empresa', 'de', 'servicios', 'y', 'soluciones', 'de', 'formación,', 'consultoría', 'y', 'outsourcing']",empresa anónima,Correcto
empresa de telecomunicaciones,"['empresa', 'de', 'telecomunicaciones']",empresa anónima,Correcto
empresa dedicada a la importacion de productos dentales,"['empresa', 'dedicada', 'a', 'la', 'importacion', 'de', 'productos', 'dentales']",empresa anónima,Correcto
empresa dedicada al marketing y el diseño,"['empresa', 'dedicada', 'al', 'marketing', 'y', 'el', 'diseño']",empresa anónima,Correcto
empresa del sector de gestión y sistemas de acceso de aparcamientos,"['empresa', 'del', 'sector', 'de', 'gestión', 'y', 'sistemas', 'de', 'acceso', 'de', 'aparcamientos']",empresa anónima,Correcto
"empresa del ámbito de la ingeniería, telecomunicaciones y tecnologías de la información, dedicada a proyectos de soporte tic","['empresa', 'del', 'ámbito', 'de', 'la', 'ingeniería,', 'telecomunicaciones', 'y', 'tecnologías', 'de', 'la', 'información,', 'dedicada', 'a', 'proyectos', 'de', 'soporte', 'tic']",empresa anónima,Correcto
empresa especializada en soluciones software y hardware,"['empresa', 'especializada', 'en', 'soluciones', 'software', 'y', 'hardware']",empresa anónima,Correcto
empresa joven dedicada a dar soporte informatico a la pequeña y mediana empresa,"['empresa', 'joven', 'dedicada', 'a', 'dar', 'soporte', 'informatico', 'a', 'la', 'pequeña', 'y', 'mediana', 'empresa']",empresa anónima,Correcto
empresa líder en ingeniería a nivel europeo,"['empresa', 'líder', 'en', 'ingeniería', 'a', 'nivel', 'europeo']",empresa anónima,Correcto
empresa líder en ingeniería y consultoría de telecomunicaciones,"['empresa', 'líder', 'en', 'ingeniería', 'y', 'consultoría', 'de', 'telecomunicaciones']",empresa anónima,Correcto
empresa multinacional,"['empresa', 'multinacional']",empresa anónima,Correcto
empresa que se dedica a la venta de equipos tecnológicos,"['empresa', 'que', 'se', 'dedica', 'a', 'la', 'venta', 'de', 'equipos', 'tecnológicos']",empresa anónima,Correcto
empresa reconocida,"['empresa', 'reconocida']",empresa anónima,Correcto
empresa reconocida,"['empresa', 'reconocida']",empresa anónima,Correcto
empresa retail,"['empresa', 'retail']",empresa anónima,Correcto
empresa sectorinformatica y telecomunicación,"['empresa', 'sectorinformatica', 'y', 'telecomunicación']",empresa anónima,Correcto
empresa sectorinformatica y telecomunicación,"['empresa', 'sectorinformatica', 'y', 'telecomunicación']",empresa anónima,Correcto
empresa tecnologica,"['empresa', 'tecnologica']",empresa anónima,Correcto
empresa tecnologica,"['empresa', 'tecnologica']",empresa anónima,Correcto
empresa tecnológica,"['empresa', 'tecnológica']",empresa anónima,Correcto
empresa tecnológica de gestión,"['empresa', 'tecnológica', 'de', 'gestión']",empresa anónima,Correcto
"enecworld iberica, sl","['enecworld', 'iberica,', 'sl']",EnecWorld,Correcto
enecworld ibérica,"['enecworld', 'ibérica']",EnecWorld,Correcto
entelgy,['entelgy'],Entelgy,Correcto
entelgy - resto de españa,"['entelgy', '-', 'resto', 'de', 'españa']",Entelgy,Correcto
entelgy ibai,"['entelgy', 'ibai']",Entelgy,Correcto
entelgy innotec security,"['entelgy', 'innotec', 'security']",Entelgy,Correcto
eosol,['eosol'],EOSOL Group,Correcto
eosol group,"['eosol', 'group']",EOSOL Group,Correcto
ernst & young advisory services sdn bhd,"['ernst', '&', 'young', 'advisory', 'services', 'sdn', 'bhd']",EY,Correcto
ernst & young llp,"['ernst', '&', 'young', 'llp']",EY,Correcto
estudio,['estudio'],empresa anónima,Correcto
estudio contable lm&a,"['estudio', 'contable', 'lm&a']",Estudio Contable LM&A,Correcto
estudio matias,"['estudio', 'matias']",Estudio Matías,Correcto
etalentum,['etalentum'],Etalentum,Correcto
etalentum,['etalentum'],Etalentum,Correcto
etalentum,['etalentum'],Etalentum,Correcto
etalentum group,"['etalentum', 'group']",Etalentum,Correcto
etalentum selección,"['etalentum', 'selección']",Etalentum,Correcto
eulen,['eulen'],Grupo Eulen,Correcto
eulen flexiplán,"['eulen', 'flexiplán']",Grupo Eulen,Correcto
eulen flexiplán selección,"['eulen', 'flexiplán', 'selección']",Grupo Eulen,Correcto
eulen limpieza y mantenimiento,"['eulen', 'limpieza', 'y', 'mantenimiento']",Grupo Eulen,Correcto
eulen selección,"['eulen', 'selección']",Grupo Eulen,Correcto
eurecat - centro tecnológico de catalunya,"['eurecat', '-', 'centro', 'tecnológico', 'de', 'catalunya']",Eurecat,Correcto
eurecat - centro tecnológico de cataluña,"['eurecat', '-', 'centro', 'tecnológico', 'de', 'cataluña']",Eurecat,Correcto
eurecat centro tecnológico de catalunya,"['eurecat', 'centro', 'tecnológico', 'de', 'catalunya']",Eurecat,Correcto
eurocontrol,['eurocontrol'],Eurocontrol,Correcto
eurocontrol,['eurocontrol'],Eurocontrol,Correcto
eurocontrol sa,"['eurocontrol', 'sa']",Eurocontrol,Correcto
eurocontrol sa (telecomunicaciones),"['eurocontrol', 'sa', '(telecomunicaciones)']",Eurocontrol,Correcto
eurofins,['eurofins'],Eurofins Megalab,Correcto
eurofins scient.,"['eurofins', 'scient.']",Eurofins Megalab,Correcto
eurofirms,['eurofirms'],Grupo Eurofirms,Correcto
eurofirms foundation | eurofirms group,"['eurofirms', 'foundation', '|', 'eurofirms', 'group']",Grupo Eurofirms,Correcto
eurofirms group | people first,"['eurofirms', 'group', '|', 'people', 'first']",Grupo Eurofirms,Correcto
everis,['everis'],Everis Consultancy Limited,Correcto
everis,['everis'],Everis Consultancy Limited,Correcto
everis spain,"['everis', 'spain']",Everis Consultancy Limited,Correcto
evolutio,['evolutio'],Evolutio Cloud Enabler,Correcto
evolutio empowering the cloud,"['evolutio', 'empowering', 'the', 'cloud']",Evolutio Cloud Enabler,Correcto
excelia,['excelia'],Excelia,Correcto
excelia,['excelia'],Excelia,Correcto
exis-ti,['exis-ti'],Exis TI,Correcto
exis-ti,['exis-ti'],Exis TI,Correcto
experience ai solutions,"['experience', 'ai', 'solutions']",Experience AI Solutions,Correcto
experience ingenieríayservicios,"['experience', 'ingenieríayservicios']",eXperience IT Solutions,Correcto
experience it solutions,"['experience', 'it', 'solutions']",eXperience IT Solutions,Correcto
experience it solutions,"['experience', 'it', 'solutions']",eXperience IT Solutions,Correcto
experis,['experis'],Experis,Correcto
experis españa,"['experis', 'españa']",Experis,Correcto
experis it,"['experis', 'it']",Experis,Correcto
experis manpower group,"['experis', 'manpower', 'group']",Experis,Correcto
experis selección,"['experis', 'selección']",Experis,Correcto
experis spain,"['experis', 'spain']",Experis,Correcto
explanandum,['explanandum'],Explanandum,Correcto
explanandum,['explanandum'],Explanandum,Correcto
expleo,['expleo'],Expleo Group,Correcto
expleo group,"['expleo', 'group']",Expleo Group,Correcto
factech,['factech'],FacTECH Servicios Informáticos,Correcto
factech servicios informáticos,"['factech', 'servicios', 'informáticos']",FacTECH Servicios Informáticos,Correcto
fcc,['fcc'],Grupo FCC,Correcto
fcc industrial,"['fcc', 'industrial']",Grupo FCC,Correcto
fed it,"['fed', 'it']",Fed IT,Correcto
fed it españa,"['fed', 'it', 'españa']",Fed IT,Correcto
ferchau,['ferchau'],Ferchau,Correcto
ferchau,['ferchau'],Ferchau,Correcto
ferchau spain,"['ferchau', 'spain']",Ferchau,Correcto
ferchau spain,"['ferchau', 'spain']",Ferchau,Correcto
fever,['fever'],Fever,Correcto
fever españa,"['fever', 'españa']",Fever,Correcto
fhios smart knowledge,"['fhios', 'smart', 'knowledge']",Fhios Smart Knowledge,Correcto
fhios smart knowledge,"['fhios', 'smart', 'knowledge']",Fhios Smart Knowledge,Correcto
fhios smart knowledge,"['fhios', 'smart', 'knowledge']",Fhios Smart Knowledge,Correcto
flowtec,['flowtec'],Flowtec Group,Correcto
flowtec group,"['flowtec', 'group']",Flowtec Group,Correcto
food experts,"['food', 'experts']",Food Experts,Correcto
food rush delivery-s,"['food', 'rush', 'delivery-s']",Food Rush Delivery,Correcto
formación on,"['formación', 'on']",FormacionON,Correcto
formación para el empleo grupo garcía ibáñez,"['formación', 'para', 'el', 'empleo', 'grupo', 'garcía', 'ibáñez']",Grupo Garcia Ibañez,Correcto
formel d gmbh,"['formel', 'd', 'gmbh']",Formel D,Correcto
formel d group,"['formel', 'd', 'group']",Formel D,Correcto
foundever,['foundever'],Foundever,Correcto
foundever españa,"['foundever', 'españa']",Foundever,Correcto
fujitsu,['fujitsu'],Fujitsu,Correcto
fujitsu limited,"['fujitsu', 'limited']",Fujitsu,Correcto
fundacion adecco,"['fundacion', 'adecco']",Adecco,Correcto
fundacion id software libre,"['fundacion', 'id', 'software', 'libre']",fundacion id software libre,Correcto
fundació per a la recerca sant joan de déu,"['fundació', 'per', 'a', 'la', 'recerca', 'sant', 'joan', 'de', 'déu']",Fundació Sant Joan de Déu,Correcto
fundació pere tarrés,"['fundació', 'pere', 'tarrés']",Fundació Pere Tarrés,Correcto
fundación cetim,"['fundación', 'cetim']",CETIM,Correcto
fundación dfa,"['fundación', 'dfa']",Fundación Dfa,Correcto
fundación diagrama,"['fundación', 'diagrama']",Fundación Diagrama,Correcto
fundación goodjob,"['fundación', 'goodjob']",Fundación GoodJob,Correcto
fundación randstad,"['fundación', 'randstad']",Randstad,Correcto
fundación social innolabs,"['fundación', 'social', 'innolabs']",Innolabs,Correcto
fundación socialinnolabs,"['fundación', 'socialinnolabs']",Innolabs,Correcto
fundación socialinnolabs,"['fundación', 'socialinnolabs']",Innolabs,Correcto
fundación universia,"['fundación', 'universia']",Universia,Correcto
fundación valenciaport,"['fundación', 'valenciaport']",Fundación Valenciaport,Correcto
future space s.a.,"['future', 'space', 's.a.']",Future Space,Correcto
future track,"['future', 'track']",Future Space,Correcto
garaje de ideas,"['garaje', 'de', 'ideas']",Garaje de Ideas,Correcto
garaje de ideas,"['garaje', 'de', 'ideas']",Garaje de Ideas,Correcto
gartner,['gartner'],Gartner,Correcto
gartner careers,"['gartner', 'careers']",Gartner,Correcto
gctplus ett,"['gctplus', 'ett']",GCTplus,Correcto
"gctplus ett, s.l.","['gctplus', 'ett,', 's.l.']",GCTplus,Correcto
geekfox,['geekfox'],GeekFox,Correcto
geekfox,['geekfox'],GeekFox,Correcto
geekshubs,['geekshubs'],GeeksHubs Academy,Correcto
geekshubs 🚀 𝗜𝗺𝗽𝘂𝗹𝘀𝗮𝗺𝗼𝘀 { 𝘁𝗮𝗹𝗲𝗻𝘁𝗼 𝘁𝗲𝗰𝗵 },"['geekshubs', '🚀', '𝗜𝗺𝗽𝘂𝗹𝘀𝗮𝗺𝗼𝘀', '{', '𝘁𝗮𝗹𝗲𝗻𝘁𝗼', '𝘁𝗲𝗰𝗵', '}']",GeeksHubs Academy,Correcto
gestelcom servicios,"['gestelcom', 'servicios']",Gestelcom Servicios,Correcto
gestelcom servicios,"['gestelcom', 'servicios']",Gestelcom Servicios,Correcto
gft technologies,"['gft', 'technologies']",GFT Technologies,Correcto
gft technologies se,"['gft', 'technologies', 'se']",GFT Technologies,Correcto
gi group,"['gi', 'group']",Gi Group ETT,Correcto
gi group,"['gi', 'group']",Gi Group ETT,Correcto
gi group spa,"['gi', 'group', 'spa']",Gi Group ETT,Correcto
global human capital group,"['global', 'human', 'capital', 'group']",Global Human Capital Group,Correcto
global human consultants,"['global', 'human', 'consultants']",Global Human Consultants,Correcto
global rail group,"['global', 'rail', 'group']",Global Rail Group,Correcto
global savings group,"['global', 'savings', 'group']",Global Savings Group,Correcto
global sio,"['global', 'sio']",Global SIO,Correcto
globant,['globant'],Globant,Correcto
globant commerce studio,"['globant', 'commerce', 'studio']",Globant,Correcto
gms management solutions s. l,"['gms', 'management', 'solutions', 's.', 'l']",GMS Management Solutions,Correcto
gms management solutions s.l,"['gms', 'management', 'solutions', 's.l']",GMS Management Solutions,Correcto
gmv,['gmv'],GMV,Correcto
gmv,['gmv'],GMV,Correcto
gmv spain,"['gmv', 'spain']",GMV,Correcto
goal systems,"['goal', 'systems']",Goal Systems,Correcto
goal systems,"['goal', 'systems']",Goal Systems,Correcto
govertis,['govertis'],Govertis,Correcto
govertis,['govertis'],Govertis,Correcto
graon,['graon'],Graon,Correcto
graon recruiting technologies,"['graon', 'recruiting', 'technologies']",Graon,Correcto
green code s&s it,"['green', 'code', 's&s', 'it']",Green Code Soluciones y Servicios IT,Correcto
green recruitment company,"['green', 'recruitment', 'company']",Green Recruitment Company,Correcto
group h. top hotels,"['group', 'h.', 'top', 'hotels']",htophotels Group,Correcto
group mecalux,"['group', 'mecalux']",Mecalux,Correcto
grup adtel,"['grup', 'adtel']",Grupo ADTEL,Correcto
grup arts gràfiques 1997 s.l.,"['grup', 'arts', 'gràfiques', '1997', 's.l.']",Grup Arts Grafiques 1997,Correcto
grup policlinic,"['grup', 'policlinic']",Grup Policlínic,Correcto
grup rv,"['grup', 'rv']",Grup Rosa dels Vents,Correcto
"grupo afronta, s.l.","['grupo', 'afronta,', 's.l.']",Grupo Afronta,Correcto
grupo air go express,"['grupo', 'air', 'go', 'express']",Grupo Air Go Express,Correcto
grupo aire,"['grupo', 'aire']",Grupo Aire,Correcto
grupo aldesa,"['grupo', 'aldesa']",Grupo Aldesa,Correcto
grupo arestora,"['grupo', 'arestora']",Grupo Arestora,Correcto
grupo atlante,"['grupo', 'atlante']",Grupo Atlante,Correcto
grupo avintia,"['grupo', 'avintia']",Grupo Avintia,Correcto
grupo avizor,"['grupo', 'avizor']",Grupo Avizor,Correcto
grupo azahara de comunicaciones s.a.,"['grupo', 'azahara', 'de', 'comunicaciones', 's.a.']",Grupo Azahara de Comunicaciones,Correcto
grupo belleza sl.,"['grupo', 'belleza', 'sl.']",Grupo Belleza,Correcto
grupo binternational,"['grupo', 'binternational']",Grupo Binternational,Correcto
grupo casfid,"['grupo', 'casfid']",Grupo CASFID,Correcto
grupo chg,"['grupo', 'chg']",Grupo CHG,Correcto
grupo cmc,"['grupo', 'cmc']",Grupo CMC,Correcto
grupo cmc,"['grupo', 'cmc']",Grupo CMC,Correcto
grupo cobra,"['grupo', 'cobra']",Grupo Cobra,Correcto
grupo cooperativo cajamar,"['grupo', 'cooperativo', 'cajamar']",Grupo Cooperativo Cajamar,Correcto
grupo coremsa,"['grupo', 'coremsa']",Grupo Coremsa,Correcto
grupo corporativo caliche,"['grupo', 'corporativo', 'caliche']",Grupo Corporativo Caliche,Correcto
grupo crit,"['grupo', 'crit']",Grupo Crit,Correcto
grupo crit,"['grupo', 'crit']",Grupo Crit,Correcto
grupo crit,"['grupo', 'crit']",Grupo Crit,Correcto
grupo cursach,"['grupo', 'cursach']",Grupo Cursach,Correcto
grupo d.c.,"['grupo', 'd.c.']",Grupo DC,Correcto
grupo dara innovación tecnológica,"['grupo', 'dara', 'innovación', 'tecnológica']",Grupo Dara,Correcto
grupo de ingeniería mundial,"['grupo', 'de', 'ingeniería', 'mundial']",Grupo de ingeniería mundial,Correcto
grupo dia,"['grupo', 'dia']",Grupo Dia,Correcto
grupo digital,"['grupo', 'digital']",Grupo Digital,Correcto
grupo disa,"['grupo', 'disa']",Grupo DISA,Correcto
grupo elecnor,"['grupo', 'elecnor']",Elecnor,Correcto
grupo empresarial español,"['grupo', 'empresarial', 'español']",Grupo empresarial español,Correcto
grupo empresarial jumo,"['grupo', 'empresarial', 'jumo']",Grupo Empresarial JUMO,Correcto
grupo enertel,"['grupo', 'enertel']",Grupo Enertel,Correcto
grupo eroski,"['grupo', 'eroski']",Grupo Eroski,Correcto
grupo eulen,"['grupo', 'eulen']",Grupo Eulen,Correcto
grupo eulen,"['grupo', 'eulen']",Grupo Eulen,Correcto
grupo exo,"['grupo', 'exo']",Grupo EXO,Correcto
grupo gastroadictos,"['grupo', 'gastroadictos']",Grupo Gastroadictos,Correcto
grupo hasten,"['grupo', 'hasten']",Grupo Hasten,Correcto
grupo hedima,"['grupo', 'hedima']",Grupo Hedima,Correcto
grupo hotusa,"['grupo', 'hotusa']",Grupo Hotusa,Correcto
grupo humact,"['grupo', 'humact']",Grupo Humact,Correcto
grupo ica,"['grupo', 'ica']",Grupo Ica,Correcto
grupo iman,"['grupo', 'iman']",Grupo Iman,Correcto
grupo imase,"['grupo', 'imase']",Grupo Imase,Correcto
grupo ingertec,"['grupo', 'ingertec']",Grupo Ingertec,Correcto
grupo innovaly,"['grupo', 'innovaly']",Grupo Innovaly,Correcto
grupo innovation,"['grupo', 'innovation']",Grupo Innovation,Correcto
grupo inprex,"['grupo', 'inprex']",Grupo Inprex,Correcto
grupo integra xxi sociedad limitada,"['grupo', 'integra', 'xxi', 'sociedad', 'limitada']",Grupo Integra Xxi Sociedad Limitada,Correcto
grupo invoin,"['grupo', 'invoin']",Grupo Invoin,Correcto
grupo invoin,"['grupo', 'invoin']",Grupo Invoin,Correcto
grupo juicy brands,"['grupo', 'juicy', 'brands']",Grupo Juicy Brands,Correcto
grupo kirol,"['grupo', 'kirol']",Grupo Kirol,Correcto
grupo lanak,"['grupo', 'lanak']",Grupo Lanak,Correcto
grupo libertad,"['grupo', 'libertad']",Grupo Libertad,Correcto
grupo marwen calsan,"['grupo', 'marwen', 'calsan']",Grupo Marwen Calsan,Correcto
grupo marzo professional services,"['grupo', 'marzo', 'professional', 'services']",Grupo Marzo Professional Services,Correcto
grupo masmovil,"['grupo', 'masmovil']",Grupo Masmovil,Correcto
grupo metronia,"['grupo', 'metronia']",Grupo Metronia,Correcto
grupo microserver,"['grupo', 'microserver']",Grupo Microserver,Correcto
grupo microsyscom,"['grupo', 'microsyscom']",Grupo Microsyscom,Correcto
grupo moga,"['grupo', 'moga']",Grupo Moga,Correcto
grupo new tandem,"['grupo', 'new', 'tandem']",Grupo New Tandem,Correcto
grupo noa's,"['grupo', ""noa's""]",Grupo Noa'S,Correcto
grupo noria,"['grupo', 'noria']",Grupo Noria,Correcto
grupo nortempo,"['grupo', 'nortempo']",Grupo Nortempo,Correcto
grupo ns,"['grupo', 'ns']",Grupo Ns,Correcto
grupo ns,"['grupo', 'ns']",Grupo Ns,Correcto
grupo ns,"['grupo', 'ns']",Grupo Ns,Correcto
grupo oesia,"['grupo', 'oesia']",Grupo Oesia,Correcto
grupo oesía,"['grupo', 'oesía']",Grupo Oesía,Correcto
grupo oesía,"['grupo', 'oesía']",Grupo Oesía,Correcto
grupo pampling,"['grupo', 'pampling']",Grupo Pampling,Correcto
grupo proeduca,"['grupo', 'proeduca']",Grupo Proeduca,Correcto
grupo proeduca,"['grupo', 'proeduca']",Grupo Proeduca,Correcto
grupo prosegur,"['grupo', 'prosegur']",Grupo Prosegur,Correcto
grupo quiter,"['grupo', 'quiter']",Grupo Quiter,Correcto
grupo ruiz,"['grupo', 'ruiz']",Grupo Ruiz,Correcto
grupo segura,"['grupo', 'segura']",Grupo Segura,Correcto
grupo sermicro,"['grupo', 'sermicro']",Grupo Sermicro,Correcto
grupo sia,"['grupo', 'sia']",Grupo Sia,Correcto
"grupo siteg, s.l.","['grupo', 'siteg,', 's.l.']","Grupo Siteg, S.L.",Correcto
grupo snb,"['grupo', 'snb']",Grupo Snb,Correcto
grupo solutia,"['grupo', 'solutia']",Grupo Solutia,Correcto
grupo solutio,"['grupo', 'solutio']",Grupo Solutio,Correcto
grupo solutio,"['grupo', 'solutio']",Grupo Solutio,Correcto
grupo sorona,"['grupo', 'sorona']",Grupo Sorona,Correcto
grupo sothis,"['grupo', 'sothis']",Grupo Sothis,Correcto
grupo tecdata engineering,"['grupo', 'tecdata', 'engineering']",Grupo Tecdata Engineering,Correcto
grupo tecopy,"['grupo', 'tecopy']",Grupo Tecopy,Correcto
grupo temporing,"['grupo', 'temporing']",Grupo Temporing,Correcto
grupo tesalia,"['grupo', 'tesalia']",Grupo Tesalia,Correcto
grupo tragsa,"['grupo', 'tragsa']",Grupo Tragsa,Correcto
grupo trc,"['grupo', 'trc']",Grupo Trc,Correcto
grupo ulma,"['grupo', 'ulma']",Grupo Ulma,Correcto
grupo v3,"['grupo', 'v3']",Grupo V3,Correcto
grupo vespok,"['grupo', 'vespok']",Grupo Vespok,Correcto
grupo vespok,"['grupo', 'vespok']",Grupo Vespok,Correcto
grupo viatek,"['grupo', 'viatek']",Grupo Viatek,Correcto
grupo vigilant,"['grupo', 'vigilant']",Grupo Vigilant,Correcto
grupo wis,"['grupo', 'wis']",Grupo Wis,Correcto
gt linkers,"['gt', 'linkers']",Gt Linkers,Correcto
gt motive,"['gt', 'motive']",GT Motive,Correcto
gt motive spain,"['gt', 'motive', 'spain']",GT Motive,Correcto
hasten group,"['hasten', 'group']",Hasten Group,Correcto
hasten group,"['hasten', 'group']",Hasten Group,Correcto
hays,['hays'],Hays,Correcto
hays,['hays'],Hays,Correcto
hays working for your tomorrow,"['hays', 'working', 'for', 'your', 'tomorrow']",Hays,Correcto
hh hunters,"['hh', 'hunters']",HH HUNTERS,Correcto
hh hunters,"['hh', 'hunters']",HH HUNTERS,Correcto
hiberus,['hiberus'],Hiberus Tecnología,Correcto
hiberus,['hiberus'],Hiberus Tecnología,Correcto
hiberus tecnologia,"['hiberus', 'tecnologia']",Hiberus Tecnología,Correcto
highlander,['highlander'],Highlander,Correcto
highlander,['highlander'],Highlander,Correcto
highlander recruitment sl,"['highlander', 'recruitment', 'sl']",Highlander,Correcto
highlander recruitment sl,"['highlander', 'recruitment', 'sl']",Highlander,Correcto
"hitachi automotive systems americas, inc.","['hitachi', 'automotive', 'systems', 'americas,', 'inc.']",Hitachi Automotive Systems,Correcto
hitachi careers,"['hitachi', 'careers']",Hitachi Automotive Systems,Correcto
hitachi vantara,"['hitachi', 'vantara']",Hitachi Automotive Systems,Correcto
hola,['hola'],Hola Consultores,Correcto
hola consultores sl,"['hola', 'consultores', 'sl']",Hola Consultores,Correcto
"hola consultores, sl","['hola', 'consultores,', 'sl']",Hola Consultores,Correcto
hotel investment partners,"['hotel', 'investment', 'partners']",HIP Hotel Investment Partners,Correcto
hotel treats,"['hotel', 'treats']",Hotel Treats,Correcto
hp,['hp'],HP,Correcto
hp scds,"['hp', 'scds']",HP,Correcto
hr innovate,"['hr', 'innovate']",HR Innovate,Correcto
hr path,"['hr', 'path']",HR Path,Correcto
hubtalent,['hubtalent'],Hubtalent,Correcto
hubtalent,['hubtalent'],Hubtalent,Correcto
human edge,"['human', 'edge']",Human Edge Management,Correcto
human selection,"['human', 'selection']",Human Selection,Correcto
human simbio consulting,"['human', 'simbio', 'consulting']",Human Simbio Consulting,Correcto
"iberdrola, s.a.","['iberdrola,', 's.a.']",Iberdrola,Correcto
"iberdrola, s.a.","['iberdrola,', 's.a.']",Iberdrola,Correcto
ices sa,"['ices', 'sa']",ICES,Correcto
ices sa,"['ices', 'sa']",ICES,Correcto
icon,['icon'],Icon Group,Correcto
icon - emea,"['icon', '-', 'emea']",Icon Group,Correcto
icon ingenieros sl,"['icon', 'ingenieros', 'sl']",Icon Group,Correcto
icon multimedia,"['icon', 'multimedia']",Icon Group,Correcto
icon strategic solutions - emea,"['icon', 'strategic', 'solutions', '-', 'emea']",Icon Group,Correcto
icp,['icp'],ICP Logística,Correcto
icp logística,"['icp', 'logística']",ICP Logística,Correcto
iddtek,['iddtek'],Iddtek,Correcto
iddtek,['iddtek'],Iddtek,Correcto
"iddtek ingeniería, diseño, desarrollo","['iddtek', 'ingeniería,', 'diseño,', 'desarrollo']",Iddtek,Correcto
iddtek – talento al servicio de la industria,"['iddtek', '–', 'talento', 'al', 'servicio', 'de', 'la', 'industria']",Iddtek,Correcto
idealista,['idealista'],Idealista,Correcto
idealista,['idealista'],Idealista,Correcto
idemia,['idemia'],IDEMIA,Correcto
idemia,['idemia'],IDEMIA,Correcto
ilunion capital humano ett,"['ilunion', 'capital', 'humano', 'ett']",ILUNION Capital Humano,Correcto
ilunion facility services,"['ilunion', 'facility', 'services']",ILUNION Capital Humano,Correcto
iman global consulting,"['iman', 'global', 'consulting']",IMAN Global Consulting,Correcto
iman global consulting,"['iman', 'global', 'consulting']",IMAN Global Consulting,Correcto
iman temporing,"['iman', 'temporing']",IMAN Temporing ETT,Correcto
iman temporing ett,"['iman', 'temporing', 'ett']",IMAN Temporing ETT,Correcto
"iman temporing ett, s.l.","['iman', 'temporing', 'ett,', 's.l.']",IMAN Temporing ETT,Correcto
importante consultora tecnológica,"['importante', 'consultora', 'tecnológica']",empresa anónima,Correcto
importante empresa,"['importante', 'empresa']",empresa anónima,Correcto
importante empresa,"['importante', 'empresa']",empresa anónima,Correcto
importante empresa del sector,"['importante', 'empresa', 'del', 'sector']",empresa anónima,Correcto
importante empresa del sector it.,"['importante', 'empresa', 'del', 'sector', 'it.']",empresa anónima,Correcto
importante multinacional del sector químico,"['importante', 'multinacional', 'del', 'sector', 'químico']",empresa anónima,Correcto
indra,['indra'],Indra Sistemas,Correcto
indra sistemas,"['indra', 'sistemas']",Indra Sistemas,Correcto
inetum,['inetum'],Inetum,Correcto
inetum norte,"['inetum', 'norte']",Inetum,Correcto
informatica,['informatica'],empresa anónima,Correcto
informatica astron multimedia s.l,"['informatica', 'astron', 'multimedia', 's.l']",Informática Astron Multimedia,Correcto
informatica astron s.l,"['informatica', 'astron', 's.l']",Informática Astron Multimedia,Correcto
informatica astron s.l,"['informatica', 'astron', 's.l']",Informática Astron Multimedia,Correcto
infortec consultores,"['infortec', 'consultores']",Infortec Consultores,Correcto
infortec consultores,"['infortec', 'consultores']",Infortec Consultores,Correcto
"infortec consultores, s.a.u- centro","['infortec', 'consultores,', 's.a.u-', 'centro']",Infortec Consultores,Correcto
ingefor,['ingefor'],INGEFOR Consultores,Correcto
ingefor international,"['ingefor', 'international']",INGEFOR Consultores,Correcto
ingefor international,"['ingefor', 'international']",INGEFOR Consultores,Correcto
ingenieria informatica,"['ingenieria', 'informatica']",empresa anónima,Correcto
ingenieria informatica empresarial,"['ingenieria', 'informatica', 'empresarial']",empresa anónima,Correcto
innova automatización s.l,"['innova', 'automatización', 's.l']",Innova IT,Correcto
innova it,"['innova', 'it']",Innova IT,Correcto
"innova it, sl","['innova', 'it,', 'sl']",Innova IT,Correcto
