Tabla M,nombre_dividido,standard_company_name,Estado
"amazon spain services, s.l.u.","['amazon', 'spain', 'services,', 's.l.u.']",Amazon,Correcto
amazon web services (aws),"['amazon', 'web', 'services', '(aws)']",Amazon,Correcto
amc networks,"['amc', 'networks']",AMC Networks,Correcto
amc networks international southern europe,"['amc', 'networks', 'international', 'southern', 'europe']",AMC Networks,Correcto
amp consultores,"['amp', 'consultores']",AMP Consultores,Correcto
amp software,"['amp', 'software']",AMP Consultores,Correcto
ams solutions,"['ams', 'solutions']",AMS Solutions,Correcto
ams solutions,"['ams', 'solutions']",AMS Solutions,Correcto
"apd - algoritmos, procesos y diseños s.a","['apd', '-', 'algoritmos,', 'procesos', 'y', 'diseños', 's.a']",APD,Correcto
apd s.a.,"['apd', 's.a.']",APD,Correcto
apex group,"['apex', 'group']",Apex Group,Correcto
apex group ltd,"['apex', 'group', 'ltd']",Apex Group,Correcto
apple,['apple'],Apple,Correcto
apple inc.,"['apple', 'inc.']",Apple,Correcto
applus+,['applus+'],Applus+,Correcto
applus+ bkw,"['applus+', 'bkw']",Applus+,Correcto
applus+ idiada,"['applus+', 'idiada']",Applus+,Correcto
aratech,['aratech'],Aratech Lifestyle Technology,Correcto
aratech,['aratech'],Aratech Lifestyle Technology,Correcto
aratech lifestyle technology,"['aratech', 'lifestyle', 'technology']",Aratech Lifestyle Technology,Correcto
aratech lifestyle technology,"['aratech', 'lifestyle', 'technology']",Aratech Lifestyle Technology,Correcto
arelance,['arelance'],Arelance,Correcto
arelance,['arelance'],Arelance,Correcto
arelance,['arelance'],Arelance,Correcto
arimany selecció de talent,"['arimany', 'selecció', 'de', 'talent']",Arimany Selecció de Talent,Correcto
"arimany selecció talent, s.l.","['arimany', 'selecció', 'talent,', 's.l.']",Arimany Selecció de Talent,Correcto
ascensium consultores,"['ascensium', 'consultores']",Ascensium Consultores,Correcto
ascensium consultores,"['ascensium', 'consultores']",Ascensium Consultores,Correcto
asociación autismo sevilla,"['asociación', 'autismo', 'sevilla']",Autismo Sevilla,Correcto
asociación marroquí para la integración de los inmigrantes,"['asociación', 'marroquí', 'para', 'la', 'integración', 'de', 'los', 'inmigrantes']",Asociación Marroquí,Correcto
asociación murciana de esclerosis múltiple (amdem),"['asociación', 'murciana', 'de', 'esclerosis', 'múltiple', '(amdem)']",AMDEM,Correcto
asseco group,"['asseco', 'group']",Asseco Group,Correcto
asseco south eastern europe,"['asseco', 'south', 'eastern', 'europe']",Asseco Group,Correcto
aszendit,['aszendit'],AszendIt Tech,Correcto
aszendit tech,"['aszendit', 'tech']",AszendIt Tech,Correcto
atlantis technology,"['atlantis', 'technology']",Atlantis Technology,Correcto
"atlantis tecnología y sistemas, s.l.u","['atlantis', 'tecnología', 'y', 'sistemas,', 's.l.u']",Atlantis Technology,Correcto
atlas cloud s.l.,"['atlas', 'cloud', 's.l.']",Atlas Cloud,Correcto
atlas robots,"['atlas', 'robots']",Atlas Robots,Correcto
aubay,['aubay'],Aubay,Correcto
aubay spain,"['aubay', 'spain']",Aubay,Correcto
auren,['auren'],Auren International,Correcto
