level_0,level_1,Competencia
233,Competencia,Redis
233,Clasificación,Base de Datos
233,Especificación,Base de datos no relacional
233,Tipo de desarrollo,Back-end
233,Asociado a...,SQL
234,Competencia,Redux
234,Clasificación,Librería Modular
234,Tipo de desarrollo,Front-end
234,Asociado a...,JavaScript
235,Competencia,Regresión
235,Roles,QA Tester
235,Cursos,Regresión Lineal
235,Clasificación,Testing
235,Especificación,Tipo de testing
236,Competencia,Rendimiento o carga
236,Roles,QA Tester
236,Clasificación,Testing
236,Especificación,Tipo de testing
236,Tipo de desarrollo,Back-end
237,Competencia,Replicación
237,Clasificación,Patrón de resiliencia
238,Competencia,Requery
238,Clasificación,Librería
238,Tipo de desarrollo,Back-end
238,Asociado a...,Kotlin
239,Competencia,REST
239,Especificación,Protocolo de comunicación
240,Competencia,RESTFull
240,Clasificación,API
240,Especificación,Tipo de API
241,Competencia,Revel
241,Clasificación,Framework
241,Tipo de desarrollo,Back-end
241,Asociado a...,Golang
242,Competencia,Riak
242,Clasificación,Base de Datos
242,Especificación,Base de datos no relacional
242,Tipo de desarrollo,Back-end
242,Asociado a...,SQL
243,Competencia,RKT
243,Especificación,Contenedor
244,Competencia,Room
244,Clasificación,Librería
244,Tipo de desarrollo,Back-end
244,Asociado a...,Kotlin
245,Competencia,Ruby
245,Clasificación,Lenguaje
245,Tipo de desarrollo,Back-end
246,Competencia,Ruby on Rails
246,Clasificación,Framework
246,Tipo de desarrollo,Back-end
246,Asociado a...,Ruby
247,Competencia,RxJava
247,Clasificación,Librería
247,Tipo de desarrollo,Back-end
247,Asociado a...,"Kotlin,Java"
248,Competencia,SASS
248,Clasificación,Framework
248,Tipo de desarrollo,Front-end
248,Asociado a...,"HTML,CSS"
249,Competencia,Scikit-learn
249,Clasificación,Librería
249,Tipo de desarrollo,Back-end
249,Asociado a...,Python
250,Competencia,Scrum
250,Cursos,Introducción a Agile
250,Clasificación,Marco de trabajo
250,Especificación,Metodología ágil
251,Competencia,Seaborn
251,Roles,Data Scientist
251,Clasificación,Librería
251,Tipo de desarrollo,Back-end
251,Asociado a...,Python
252,Competencia,Selenium
252,Roles,QA Tester
252,Cursos,Testing con Selenium
252,Clasificación,Testing
252,Especificación,Herramienta de testing
252,Tipo de desarrollo,Back-end
252,Asociado a...,Python
253,Competencia,Serverless
253,Cursos,Revolución Serverless: AWS
253,Clasificación,Framework
253,Tipo de desarrollo,Back-end
254,Competencia,Shimmer
254,Clasificación,Librería
254,Tipo de desarrollo,Back-end
254,Asociado a...,Kotlin
255,Competencia,Simulink
255,Clasificación,Programa
255,Tipo de desarrollo,Back-end
255,Asociado a...,MATLAB
256,Competencia,Sinatra
256,Clasificación,Librería
256,Tipo de desarrollo,Back-end
256,Asociado a...,Ruby
257,Competencia,Singleton
257,Clasificación,Patrones de diseño y Arquitectura del software
257,Especificación,Patrón de creación
257,Tipo de desarrollo,Back-end
258,Competencia,Skeleton
258,Clasificación,Framework
258,Tipo de desarrollo,Front-end
258,Asociado a...,"HTML,CSS"
259,Competencia,SLF4J
259,Clasificación,Librería
259,Tipo de desarrollo,Back-end
259,Asociado a...,Java
260,Competencia,SOAP
260,Especificación,Protocolo de comunicación
261,Competencia,Socket.IO
261,Cursos,Desarrollo de un chat con Socket.io
261,Clasificación,Librería
261,Tipo de desarrollo,Front-end
261,Asociado a...,JavaScript
262,Competencia,SOLID
262,Clasificación,Buena práctica
262,Especificación,Clean Code
263,Competencia,Sonar
263,Roles,QA Tester
263,Clasificación,Testing
263,Especificación,Herramienta de testing
263,Tipo de desarrollo,"Back-end,Front-end"
263,Asociado a...,"JavaScript,Java"
264,Competencia,Spark
264,Clasificación,Framework
264,Tipo de desarrollo,Back-end
264,Asociado a...,Kotlin
265,Competencia,Spring
265,Clasificación,Framework
265,Tipo de desarrollo,Back-end
265,Asociado a...,"Kotlin,Java,Groovy"
266,Competencia,Spring Boot
266,Clasificación,Librería Modular
266,Tipo de desarrollo,Back-end
266,Asociado a...,"Kotlin,Java,Groovy"
267,Competencia,Spring Cloud
267,Clasificación,Librería Modular
267,Tipo de desarrollo,Back-end
267,Asociado a...,"Kotlin,Java,Groovy"
268,Competencia,Spring Data
268,Clasificación,Librería Modular
268,Tipo de desarrollo,Back-end
268,Asociado a...,"Kotlin,Java,Groovy"
269,Competencia,Spring MVC
269,Clasificación,Librería Modular
269,Tipo de desarrollo,Back-end
269,Asociado a...,"Kotlin,Java,Groovy"
270,Competencia,Spring Security
270,Clasificación,Librería Modular
270,Tipo de desarrollo,Back-end
270,Asociado a...,"Kotlin,Java,Groovy"
271,Competencia,Spring web flux
271,Clasificación,Librería Modular
271,Tipo de desarrollo,Back-end
271,Asociado a...,"Kotlin,Java,Groovy"
272,Competencia,SproutCore
272,Clasificación,Framework
272,Tipo de desarrollo,Front-end
272,Asociado a...,"HTML,CSS"
273,Competencia,SQL
273,Roles,"Back-end Developer Junior,Full-Stack Developer Junior,Data Analyst,Data Scientist,Data Scientist Junior"
273,Clasificación,Lenguaje
273,Tipo de desarrollo,Back-end
274,Competencia,Stetho
274,Clasificación,Librería
274,Tipo de desarrollo,Back-end
274,Asociado a...,Kotlin
275,Competencia,Strategy
275,Clasificación,Patrones de diseño y Arquitectura del software
275,Especificación,Patrón de comportamiento
275,Tipo de desarrollo,Back-end
276,Competencia,Streamlit
276,Roles,"Data Scientist,Data Scientist Junior"
276,Especificación,Business Intelligence
277,Competencia,Struts
277,Clasificación,Framework
277,Tipo de desarrollo,Back-end
277,Asociado a...,Java
278,Competencia,Svelte
278,Clasificación,Framework
278,Tipo de desarrollo,Front-end
278,Asociado a...,JavaScript
279,Competencia,SVN
279,Clasificación,Controlador de versiones
279,Tipo de desarrollo,"Back-end,Front-end"
280,Competencia,Symfony
280,Clasificación,Framework
280,Tipo de desarrollo,Back-end
280,Asociado a...,PHP
281,Competencia,Tableau
281,Roles,Data Analyst
281,Clasificación,Software
281,Especificación,Business Intelligence
281,Tipo de desarrollo,"Back-end,Front-end"
282,Competencia,TDD
282,Roles,QA Tester
282,Clasificación,Testing
282,Especificación,Tipo de testing
282,Tipo de desarrollo,Front-end
283,Competencia,TeamCity
283,Clasificación,CI/CD
284,Competencia,TensorFlow
284,Clasificación,Librería
284,Tipo de desarrollo,Back-end
284,Asociado a...,Python
285,Competencia,Thrift
285,Especificación,Protocolo de comunicación
286,Competencia,Timeouts
286,Clasificación,Patrón de resiliencia
287,Competencia,Travis
287,Clasificación,CI/CD
288,Competencia,TypeScript
288,Cursos,"Track formativo en React con Material UI y TypeScript. Sesión I: Introducción a Material UI.,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Typescript I,Track formativo en React con Material UI y TypeScript. Sesión IV: Theme & Context: Dark Mode,Typescript II"
288,Clasificación,Lenguaje
288,Tipo de desarrollo,Front-end
289,Competencia,Unified Modeling Language
289,Clasificación,Lenguaje
289,Tipo de desarrollo,Back-end
290,Competencia,Unitarios
290,Roles,QA Tester
290,Clasificación,Testing
290,Especificación,Tipo de testing
291,Competencia,Unity
292,Competencia,Vert.x
292,Clasificación,Framework
292,Tipo de desarrollo,Back-end
292,Asociado a...,Kotlin
293,Competencia,Volt
293,Clasificación,Framework
293,Tipo de desarrollo,Back-end
293,Asociado a...,Ruby
294,Competencia,VueJS
294,Cursos,"Vue en el mundo real,Vue en el mundo real (parte 2)"
294,Clasificación,Framework
294,Tipo de desarrollo,Front-end
294,Asociado a...,JavaScript
295,Competencia,Vuetify
295,Clasificación,Librería Modular
295,Tipo de desarrollo,Front-end
295,Asociado a...,JavaScript
296,Competencia,Xamarin
296,Clasificación,Framework
296,Tipo de desarrollo,Back-end
296,Asociado a...,C#
297,Competencia,XML
297,Clasificación,API
297,Especificación,Tipo de API
298,Competencia,YAGNI
298,Clasificación,Buena práctica
298,Especificación,Clean Code
299,Competencia,Zabbix
299,Clasificación,Monitorización
300,Competencia,Zebra
300,Clasificación,Framework
300,Tipo de desarrollo,Front-end
300,Asociado a...,"HTML,CSS"
301,Competencia,Zend
301,Clasificación,Framework
301,Tipo de desarrollo,Back-end
301,Asociado a...,PHP
