level_0,level_1,Competencia
56,Tipo de desarrollo,Front-end
56,Asociado a...,JavaScript
57,Competencia,D3.js
57,Clasificación,Librería
57,Tipo de desarrollo,Front-end
57,Asociado a...,JavaScript
58,Competencia,Dagger
58,Clasificación,Librería
58,Tipo de desarrollo,Back-end
58,Asociado a...,Kotlin
59,Competencia,Data Wrangling
59,Clasificación,Proceso
59,Tipo de desarrollo,Back-end
59,Asociado a...,"Python,SQL"
60,Competencia,Datadog
60,Clasificación,Monitorización
61,Competencia,Daux.io
61,Clasificación,Librería
61,Tipo de desarrollo,Back-end
61,Asociado a...,PHP
62,Competencia,DB2
62,Clasificación,Base de Datos
62,Especificación,Base de datos relacional
62,Tipo de desarrollo,Back-end
62,Asociado a...,SQL
63,Competencia,Debbuging
63,Cursos,Software Debugging
63,Clasificación,Proceso
63,Tipo de desarrollo,Back-end
64,Competencia,Decorator
64,Clasificación,Patrones de diseño y Arquitectura del software
64,Especificación,Patrón estructural
64,Tipo de desarrollo,Back-end
65,Competencia,Deep Learning
65,Roles,Data Scientist
65,Especificación,Artificial Intelligence
65,Tipo de desarrollo,Back-end
66,Competencia,Deno
66,Cursos,Introducción a Deno
66,Clasificación,Programa
66,Tipo de desarrollo,Back-end
66,Asociado a...,"JavaScript,TypeScript"
67,Competencia,Design Systems
67,Cursos,"Design Systems I,Design Systems Parte II"
67,Especificación,Diseño UX/UI
67,Tipo de desarrollo,Front-end
68,Competencia,Django
68,Roles,Data Scientist
68,Clasificación,Framework
68,Tipo de desarrollo,Back-end
68,Asociado a...,Python
69,Competencia,Docker
69,Especificación,Contenedor
70,Competencia,Docker Swarm
70,Especificación,Plataforma de orquestación de contenedores
71,Competencia,Dompdf
71,Clasificación,Librería
71,Tipo de desarrollo,Back-end
71,Asociado a...,PHP
72,Competencia,Dragula
72,Clasificación,Librería Modular
72,Tipo de desarrollo,Front-end
72,Asociado a...,TypeScript
73,Competencia,DRY
73,Clasificación,Buena práctica
73,Especificación,Clean Code
74,Competencia,Dynatrace
74,Clasificación,Monitorización
75,Competencia,Eartho One
75,Clasificación,Librería Modular
75,Tipo de desarrollo,Front-end
75,Asociado a...,JavaScript
76,Competencia,Echo
76,Clasificación,Framework
76,Tipo de desarrollo,Back-end
76,Asociado a...,Golang
77,Competencia,Elasticsearch
77,Cursos,Monitorización con Elasticsearch
77,Clasificación,Motor de búsqueda
78,Competencia,Element Plus
78,Clasificación,Librería Modular
78,Tipo de desarrollo,Front-end
78,Asociado a...,JavaScript
79,Competencia,ELK Stack
79,Clasificación,Monitorización
80,Competencia,Ember.js
80,Clasificación,Framework
80,Tipo de desarrollo,Front-end
80,Asociado a...,JavaScript
81,Competencia,End to End
81,Roles,QA Tester
81,Clasificación,Testing
81,Especificación,Tipo de testing
81,Tipo de desarrollo,Front-end
82,Competencia,Entity
82,Clasificación,Framework
82,Tipo de desarrollo,Back-end
82,Asociado a...,C#
83,Competencia,Estadística
83,Cursos,Estadística Descriptiva y Estadística Inferencial
83,Clasificación,Matemáticas
83,Tipo de desarrollo,Back-end
83,Asociado a...,Python
84,Competencia,Estructura de datos
84,Cursos,Algoritmos y Estructuras de Datos
84,Clasificación,Base de Datos
84,Tipo de desarrollo,Back-end
85,Competencia,Excel
85,Clasificación,Software
85,Tipo de desarrollo,Back-end
86,Competencia,eXtreme Programming
86,Clasificación,Software
86,Tipo de desarrollo,Back-end
87,Competencia,Facade
87,Clasificación,Patrones de diseño y Arquitectura del software
87,Especificación,Patrón estructural
87,Tipo de desarrollo,Back-end
88,Competencia,Factory Method
88,Clasificación,Patrones de diseño y Arquitectura del software
88,Especificación,Patrón de creación
88,Tipo de desarrollo,Back-end
89,Competencia,Failover
89,Clasificación,Patrón de resiliencia
90,Competencia,FeatherJS
90,Clasificación,Framework
90,Tipo de desarrollo,Front-end
90,Asociado a...,TypeScript
91,Competencia,Fiber
91,Clasificación,Framework
91,Tipo de desarrollo,Back-end
91,Asociado a...,Golang
92,Competencia,Figma
92,Cursos,Figma
92,Clasificación,Programa
92,Especificación,Diseño UX/UI
92,Tipo de desarrollo,Front-end
93,Competencia,Flask
93,Clasificación,Framework
93,Tipo de desarrollo,Back-end
93,Asociado a...,Python
94,Competencia,Flexbox
94,Cursos,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid
94,Clasificación,Framework
94,Tipo de desarrollo,Front-end
94,Asociado a...,"HTML,CSS"
95,Competencia,Flexbox Layout
95,Clasificación,Librería
95,Tipo de desarrollo,Back-end
95,Asociado a...,Kotlin
96,Competencia,Foundation
96,Clasificación,Framework
96,Tipo de desarrollo,Front-end
96,Asociado a...,"HTML,CSS"
97,Competencia,Funcionales
97,Roles,QA Tester
97,Clasificación,Testing
97,Especificación,Tipo de testing
98,Competencia,Gaelyk
98,Clasificación,Framework
98,Tipo de desarrollo,Back-end
98,Asociado a...,Groovy
99,Competencia,Gherkin
99,Cursos,Testing con Gherkin & Cucumber
99,Clasificación,Lenguaje
100,Competencia,Gin
100,Clasificación,Framework
100,Tipo de desarrollo,Back-end
100,Asociado a...,Golang
101,Competencia,GIT
101,Cursos,"Sistemas de Control de Versiones,Trabajo en equipo con Git"
101,Clasificación,Controlador de versiones
101,Tipo de desarrollo,"Back-end,Front-end"
102,Competencia,GitHub
102,Cursos,Gestión de Código con GitHub
102,Clasificación,Controlador de versiones
102,Tipo de desarrollo,"Back-end,Front-end"
103,Competencia,GitLab
103,Clasificación,Controlador de versiones
103,Tipo de desarrollo,"Back-end,Front-end"
104,Competencia,Glide
104,Clasificación,Librería
104,Tipo de desarrollo,Back-end
104,Asociado a...,Kotlin
105,Competencia,Golang
105,Clasificación,Lenguaje
105,Tipo de desarrollo,Back-end
106,Competencia,Google Cloud
106,Clasificación,Cloud
107,Competencia,Google Cloud Pub/Sub
107,Especificación,Broker de mensajería
108,Competencia,Gorilla
108,Clasificación,Framework
108,Tipo de desarrollo,Back-end
108,Asociado a...,Golang
109,Competencia,Grafana
109,Clasificación,Monitorización
110,Competencia,Grails
110,Clasificación,Framework
110,Tipo de desarrollo,Back-end
110,Asociado a...,Groovy
111,Competencia,GraphQL
111,Cursos,"GraphQL básico I,GraphQL básico II"
111,Clasificación,Lenguaje
111,Tipo de desarrollo,Back-end
112,Competencia,Grid
112,Cursos,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid
112,Clasificación,Framework
112,Tipo de desarrollo,Front-end
112,Asociado a...,"HTML,CSS"
113,Competencia,Groovy
113,Clasificación,Lenguaje
113,Tipo de desarrollo,Back-end
114,Competencia,gRPC
114,Especificación,Protocolo de comunicación
115,Competencia,Gson
115,Clasificación,Librería
115,Tipo de desarrollo,Back-end
115,Asociado a...,Java
116,Competencia,Guava
116,Clasificación,Librería
116,Tipo de desarrollo,Back-end
116,Asociado a...,Java
117,Competencia,Gumby
117,Clasificación,Framework
117,Tipo de desarrollo,Front-end
117,Asociado a...,"HTML,CSS"
118,Competencia,Hammer.js
118,Clasificación,Librería
118,Tipo de desarrollo,Front-end
118,Asociado a...,JavaScript
119,Competencia,Hanami
119,Clasificación,Framework
119,Tipo de desarrollo,Back-end
119,Asociado a...,Ruby
120,Competencia,Hexagonal
120,Clasificación,Patrones de diseño y Arquitectura del software
120,Especificación,Patrón arquitectónico
120,Tipo de desarrollo,Back-end
121,Competencia,Hibernate
121,Clasificación,Framework
121,Tipo de desarrollo,Back-end
121,Asociado a...,Java
122,Competencia,Hipertable
122,Clasificación,Base de Datos
122,Especificación,Base de datos no relacional
122,Tipo de desarrollo,Back-end
122,Asociado a...,SQL
123,Competencia,HTML
123,Roles,"Front-end Developer Junior,Back-end Developer Junior,Full-Stack Developer Junior"
123,Clasificación,Lenguaje
123,Tipo de desarrollo,Front-end
124,Competencia,IBM Cloud
124,Clasificación,Cloud
125,Competencia,Imagine
125,Clasificación,Librería
125,Tipo de desarrollo,Back-end
125,Asociado a...,PHP
126,Competencia,Instaphp
126,Clasificación,Librería
126,Tipo de desarrollo,Back-end
126,Asociado a...,PHP
127,Competencia,Integración
127,Roles,QA Tester
127,Clasificación,Testing
127,Especificación,Tipo de testing
128,Competencia,Iris
128,Clasificación,Framework
128,Tipo de desarrollo,Back-end
128,Asociado a...,Golang
129,Competencia,Jackson
129,Clasificación,Librería
129,Tipo de desarrollo,Back-end
129,Asociado a...,Java
130,Competencia,Java
130,Roles,"Back-end Developer Junior,Full-Stack Developer Junior"
130,Clasificación,Lenguaje
130,Tipo de desarrollo,Back-end
131,Competencia,JavaScript
131,Roles,"Front-end Developer Junior,Back-end Developer Junior,Full-Stack Developer Junior"
131,Cursos,Scrapy con Javascript (Puppeteer)
131,Clasificación,Lenguaje
131,Tipo de desarrollo,"Back-end,Front-end"
132,Competencia,Jenkins
132,Clasificación,CI/CD
133,Competencia,Jest
133,Roles,QA Tester
133,Clasificación,Testing
133,Especificación,Herramienta de testing
133,Tipo de desarrollo,Front-end
133,Asociado a...,JavaScript
134,Competencia,Jira
134,Clasificación,Software
134,Especificación,Gestión de proyectos
134,Asociado a...,Java
135,Competencia,JMeter
135,Roles,QA Tester
135,Clasificación,Testing
135,Especificación,Herramienta de testing
135,Tipo de desarrollo,Back-end
136,Competencia,jQuery
136,Clasificación,Librería
136,Tipo de desarrollo,Front-end
136,Asociado a...,JavaScript
137,Competencia,JSON
137,Clasificación,API
137,Especificación,Tipo de API
138,Competencia,Junit
138,Roles,QA Tester
138,Clasificación,Testing
138,Especificación,Herramienta de testing
138,Tipo de desarrollo,Back-end
138,Asociado a...,Java
139,Competencia,Kafka
139,Especificación,Broker de mensajería
140,Competencia,Kanban
140,Clasificación,Marco de trabajo
140,Especificación,Metodología ágil
141,Competencia,Kickstart
141,Clasificación,Framework
141,Tipo de desarrollo,Front-end
141,Asociado a...,"HTML,CSS"
142,Competencia,KISS
142,Clasificación,Buena práctica
142,Especificación,Clean Code
143,Competencia,Koin
143,Clasificación,Librería
143,Tipo de desarrollo,Back-end
143,Asociado a...,Kotlin
144,Competencia,Kotlin
144,Clasificación,Lenguaje
144,Tipo de desarrollo,Back-end
145,Competencia,Ktor
145,Clasificación,Framework
145,Tipo de desarrollo,Back-end
145,Asociado a...,Kotlin
146,Competencia,Kubernetes
146,Especificación,Plataforma de orquestación de contenedores
147,Competencia,Laravel
147,Clasificación,Framework
147,Tipo de desarrollo,Back-end
147,Asociado a...,PHP
148,Competencia,Latitude
148,Clasificación,Librería
148,Tipo de desarrollo,Back-end
148,Asociado a...,PHP
149,Competencia,LeakCanary
149,Clasificación,Librería
149,Tipo de desarrollo,Back-end
149,Asociado a...,Kotlin
150,Competencia,Less
150,Clasificación,Framework
150,Tipo de desarrollo,Front-end
150,Asociado a...,"HTML,CSS"
151,Competencia,Linux
151,Clasificación,Sistema Operativo
152,Competencia,Log4j2
152,Clasificación,Librería
152,Tipo de desarrollo,Back-end
152,Asociado a...,Java
153,Competencia,LoopbackJS
153,Clasificación,Framework
153,Tipo de desarrollo,Front-end
153,Asociado a...,TypeScript
154,Competencia,Lottie
154,Clasificación,Librería
154,Tipo de desarrollo,Back-end
154,Asociado a...,Kotlin
155,Competencia,Lotus
155,Clasificación,Framework
155,Tipo de desarrollo,Back-end
155,Asociado a...,Ruby
156,Competencia,LXC/LCD
156,Especificación,Contenedor
157,Competencia,Machine Learning
157,Roles,"Data Scientist,Data Scientist Junior"
